Run,Velocity,Protocol,Metric,Value
302,0.5,LW-Sync,Skew,14.2901
303,0.5,LW-Sync,Offset,153.597
303,0.5,LW-Sync,Skew,37.6403
301,0.5,LW-Sync,Offset,122.706
301,0.5,LW-Sync,Skew,57.3406
304,0.5,LW-Sync,Offset,147.754
304,0.5,LW-Sync,Skew,30.7893
305,0.5,LW-Sync,Offset,168.977
305,0.5,LW-Sync,Skew,15.7437
306,0.5,LW-Sync,Offset,110.803
306,0.5,LW-Sync,Skew,30.1497
307,0.5,LW-Sync,Offset,120.767
307,0.5,LW-Sync,Skew,30.0335
309,0.5,LW-Sync,Offset,134.502
309,0.5,LW-Sync,Skew,5.31587
308,0.5,LW-Sync,Offset,90.0815
308,0.5,LW-Sync,Skew,62.5508
310,0.5,LW-Sync,Offset,135.739
310,0.5,LW-Sync,Skew,6.43396
312,0.5,LW-Sync,Offset,119.226
312,0.5,LW-Sync,Skew,22.8368
313,0.5,LW-Sync,Offset,109.256
313,0.5,LW-Sync,Skew,46.9073
311,0.5,LW-Sync,Offset,138.141
311,0.5,LW-Sync,Skew,65.3456
314,0.5,LW-Sync,Offset,150.096
314,0.5,LW-Sync,Skew,4.15279
315,0.5,LW-Sync,Offset,144.038
315,0.5,LW-Sync,Skew,77.0008
317,0.5,LW-Sync,Offset,150.584
317,0.5,LW-Sync,Skew,40.906
316,0.5,LW-Sync,Offset,127.886
316,0.5,LW-Sync,Skew,16.5577
319,0.5,LW-Sync,Offset,173.589
319,0.5,LW-Sync,Skew,27.4124
320,0.5,LW-Sync,Offset,177.289
320,0.5,LW-Sync,Skew,8.49914
318,0.5,LW-Sync,Offset,209.204
318,0.5,LW-Sync,Skew,66.6709
321,0.5,LW-Sync,Offset,161.962
321,0.5,LW-Sync,Skew,57.4196
322,0.5,LW-Sync,Offset,149.669
322,0.5,LW-Sync,Skew,14.9381
323,0.5,LW-Sync,Offset,160.016
323,0.5,LW-Sync,Skew,8.44406
325,0.5,LW-Sync,Offset,168.905
325,0.5,LW-Sync,Skew,21.4542
