Run,TrajectoryPositionNoise,Protocol,Metric,Value
173,0,LW-Sync,Skew,30.3718
172,0,LW-Sync,Offset,101.805
172,0,LW-Sync,Skew,15.5823
177,0,LW-Sync,Offset,148.136
177,0,LW-Sync,Skew,21.8742
178,0,LW-Sync,Offset,121.198
178,0,LW-Sync,Skew,72.5542
176,0,LW-Sync,Offset,117.636
176,0,LW-Sync,Skew,79.0821
180,0,LW-Sync,Offset,184.778
180,0,LW-Sync,Skew,79.004
179,0,LW-Sync,Offset,137.254
179,0,LW-Sync,Skew,7.45248
181,0,LW-Sync,Offset,164.129
181,0,LW-Sync,Skew,53.9154
182,0,LW-Sync,Offset,84.9176
182,0,LW-Sync,Skew,41.5317
183,0,LW-Sync,Offset,146.645
183,0,LW-Sync,Skew,21.2473
184,0,LW-Sync,Offset,136.842
184,0,LW-Sync,Skew,17.7779
185,0,LW-Sync,Offset,139.615
185,0,LW-Sync,Skew,6.2721
186,0,LW-Sync,Offset,165.865
186,0,LW-Sync,Skew,18.7215
188,0,LW-Sync,Offset,141.936
188,0,LW-Sync,Skew,30.715
187,0,LW-Sync,Offset,154.841
187,0,LW-Sync,Skew,28.1894
190,0,LW-Sync,Offset,149.661
190,0,LW-Sync,Skew,2.26938
189,0,LW-Sync,Offset,110.509
189,0,LW-Sync,Skew,19.6669
191,0,LW-Sync,Offset,147.072
191,0,LW-Sync,Skew,34.11
192,0,LW-Sync,Offset,120.705
192,0,LW-Sync,Skew,24.7701
193,0,LW-Sync,Offset,151.793
193,0,LW-Sync,Skew,38.5747
194,0,LW-Sync,Offset,118.6
194,0,LW-Sync,Skew,34.9038
195,0,LW-Sync,Offset,109.574
195,0,LW-Sync,Skew,32.5531
196,0,LW-Sync,Offset,121.627
196,0,LW-Sync,Skew,97.4815
197,0,LW-Sync,Offset,89.4955
197,0,LW-Sync,Skew,101.486
199,0,LW-Sync,Offset,88.8274
199,0,LW-Sync,Skew,37.6283
198,0,LW-Sync,Offset,189.565
198,0,LW-Sync,Skew,64.5719
200,0,LW-Sync,Offset,111.806
200,0,LW-Sync,Skew,32.3621
202,0,LW-Sync,Offset,205.698
202,0,LW-Sync,Skew,10.9076
203,0,LW-Sync,Offset,148.5
203,0,LW-Sync,Skew,45.7234
201,0,LW-Sync,Offset,148.162
201,0,LW-Sync,Skew,68.8524
204,0,LW-Sync,Offset,160.381
204,0,LW-Sync,Skew,20.0135
207,0,LW-Sync,Offset,110.197
207,0,LW-Sync,Skew,29.7066
206,0,LW-Sync,Offset,145.16
206,0,LW-Sync,Skew,16.9897
205,0,LW-Sync,Offset,129.901
205,0,LW-Sync,Skew,5.36897
209,0,LW-Sync,Offset,167.125
209,0,LW-Sync,Skew,24.4144
208,0,LW-Sync,Offset,146.883
208,0,LW-Sync,Skew,19.8118
211,0,LW-Sync,Offset,94.8839
211,0,LW-Sync,Skew,16.1474
212,0,LW-Sync,Offset,153.837
212,0,LW-Sync,Skew,40.6947
213,0,LW-Sync,Offset,173.944
213,0,LW-Sync,Skew,43.7874
210,0,LW-Sync,Offset,140.599
210,0,LW-Sync,Skew,14.6982
214,0,LW-Sync,Offset,109.6
214,0,LW-Sync,Skew,30.5089
215,0,LW-Sync,Offset,117.25
215,0,LW-Sync,Skew,0.256168
216,0,LW-Sync,Offset,153.011
216,0,LW-Sync,Skew,21.0062
217,0,LW-Sync,Offset,196.794
217,0,LW-Sync,Skew,79.6255
220,0,LW-Sync,Offset,138.543
220,0,LW-Sync,Skew,2.02105
219,0,LW-Sync,Offset,195.321
219,0,LW-Sync,Skew,7.19362
221,0,LW-Sync,Offset,141.445
221,0,LW-Sync,Skew,6.58169
218,0,LW-Sync,Offset,156.48
218,0,LW-Sync,Skew,18.3342
222,0,LW-Sync,Offset,122.412
222,0,LW-Sync,Skew,17.5139
223,0,LW-Sync,Offset,146.853
223,0,LW-Sync,Skew,66.8917
224,0,LW-Sync,Offset,175.486
224,0,LW-Sync,Skew,53.4379
225,0,LW-Sync,Offset,103.391
225,0,LW-Sync,Skew,11.3988
227,0,LW-Sync,Offset,129.371
227,0,LW-Sync,Skew,10.0899
226,0,LW-Sync,Offset,110.993
226,0,LW-Sync,Skew,26.2098
228,0,LW-Sync,Offset,200.763
228,0,LW-Sync,Skew,10.8358
229,0,LW-Sync,Offset,113.316
229,0,LW-Sync,Skew,4.91561
230,0,LW-Sync,Offset,116.712
230,0,LW-Sync,Skew,78.3966
231,0,LW-Sync,Offset,92.8608
231,0,LW-Sync,Skew,94.4483
232,0,LW-Sync,Offset,130.99
232,0,LW-Sync,Skew,7.67499
234,0,LW-Sync,Offset,190.552
234,0,LW-Sync,Skew,59.251
233,0,LW-Sync,Offset,112.134
233,0,LW-Sync,Skew,16.3659
235,0,LW-Sync,Offset,157.401
235,0,LW-Sync,Skew,134.116
236,0,LW-Sync,Offset,117.422
236,0,LW-Sync,Skew,80.124
237,0,LW-Sync,Offset,140.725
237,0,LW-Sync,Skew,50.6509
238,0,LW-Sync,Offset,156.592
238,0,LW-Sync,Skew,29.9186
